记录ID,用途,平台,物品,数量,总价,购买日期,是否收到,是否开票,汇总ID
16618512,生日礼物,线下,ss4,33,3330.0,2025-09-03,否,否,1
64162536,生日礼物,天猫,22,33,2220.0,2025-09-02,是,是,1
72933454,转正仪式,拼多多,ss11,11,111.0,2025-09-01,是,是,
6416436,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
729531154,微信转账,天猫,ss,33,3311.0,2025-09-01,否,否,
6416536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
7293454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
641636,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
72931154,微信转账,天猫,ss,33,111.0,2025-09-01,否,否,
642536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
7221454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
1441454,其他,天猫,ss1,1,2221.0,2025-09-02,否,否,1
164176536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
172938454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
16416936,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
1729331154,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
16425036,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
123122,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
113441455,转正仪式,天猫,ss2,1,2221.0,2025-09-02,否,否,
16416536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
17293454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
1641636,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
172931154,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
1642536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
17221454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
11441454,转正仪式,天猫,ss,1,2221.0,2025-09-02,否,否,
116416536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
117293454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
11641636,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
1172931154,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
11642536,生日礼物,天猫,22,33,2220.0,2025-09-01,是,是,
117221454,转正仪式,天猫,ss,1,111.0,2025-09-01,否,否,
23469351,其他,淘宝,ss3,1,33330.0,2025-09-04,是,否,1
